incident_id,timestamp,machine_id,operator_id,incident_type,severity,description,location,resolved,resolution,created_at
INC0011,2026-08-26 18:45:47,DOZ033,OP066,Excessive Idling,High,Excessive Idling event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-08-26 18:45:47
INC0012,2026-08-22 22:45:47,WHE020,OP088,Mechanical Anomaly,Critical,Mechanical Anomaly event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-22 22:45:47
INC0013,2026-08-14 23:45:47,WHE032,OP065,Mechanical Anomaly,Low,Mechanical Anomaly event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-08-14 23:45:47
INC0014,2026-08-24 03:45:47,DOZ021,OP071,Overheating,Medium,Overheating event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-24 03:45:47
INC0015,2026-08-17 20:45:47,COM018,OP074,Mechanical Anomaly,High,Mechanical Anomaly event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,False,,2026-08-17 20:45:47
INC0016,2026-08-31 15:45:47,GRA010,OP011,Overheating,Medium,Overheating event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-08-31 15:45:47
INC0017,2026-08-31 14:45:47,COM006,OP062,Proximity Hazard,High,Proximity Hazard event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-08-31 14:45:47
INC0018,2026-08-21 13:45:47,GRA046,OP043,Other,Medium,Other event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-21 13:45:47
INC0019,2026-09-06 09:45:47,WHE032,OP036,Fatigue,Critical,Fatigue event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-09-06 09:45:47
INC0020,2026-08-20 23:45:47,DUM005,OP091,Mechanical Anomaly,High,Mechanical Anomaly event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-08-20 23:45:47
INC0021,2026-09-03 08:45:47,DUM011,OP055,Mechanical Anomaly,Critical,Mechanical Anomaly event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-09-03 08:45:47
INC0022,2026-08-14 16:45:47,COM048,OP084,Other,Low,Other event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-08-14 16:45:47
INC0023,2026-09-09 03:45:47,GRA028,OP033,Excessive Idling,High,Excessive Idling event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-09 03:45:47
INC0024,2026-09-19 00:45:47,DOZ027,OP046,Fatigue,High,Fatigue event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-19 00:45:47
INC0025,2026-09-15 16:45:47,COM042,OP056,Other,High,Other event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,True,Operator briefed and cleared for shift resumption.,2026-09-15 16:45:47
INC0026,2026-09-08 11:45:47,DUM029,OP068,Excessive Idling,Critical,Excessive Idling event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-09-08 11:45:47
INC0027,2026-08-31 19:45:47,GRA004,OP073,Other,Medium,Other event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-08-31 19:45:47
INC0028,2026-08-29 05:45:47,COM012,OP008,Other,Low,Other event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-29 05:45:47
INC0029,2026-08-17 20:45:47,DOZ003,OP011,Other,High,Other event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-17 20:45:47
INC0030,2026-09-06 07:45:47,DUM041,OP020,Mechanical Anomaly,Medium,Mechanical Anomaly event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-09-06 07:45:47
INC0031,2026-09-03 14:45:47,GRA034,OP036,Proximity Hazard,Medium,Proximity Hazard event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,False,,2026-09-03 14:45:47
INC0032,2026-08-27 18:45:47,DUM011,OP062,Fatigue,Critical,Fatigue event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-08-27 18:45:47
INC0033,2026-08-26 15:45:47,EXC037,OP081,Seatbelt Violation,High,Seatbelt Violation event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-08-26 15:45:47
INC0034,2026-09-06 11:45:47,GRA004,OP011,Mechanical Anomaly,Low,Mechanical Anomaly event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-09-06 11:45:47
INC0035,2026-08-19 11:45:47,WHE014,OP026,Other,High,Other event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,False,,2026-08-19 11:45:47
INC0036,2026-09-08 00:45:47,GRA022,OP029,Seatbelt Violation,Critical,Seatbelt Violation event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,False,,2026-09-08 00:45:47
INC0037,2026-08-23 08:45:47,GRA034,OP052,Other,Critical,Other event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-23 08:45:47
INC0038,2026-08-28 11:45:47,DOZ021,OP034,Overheating,High,Overheating event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-28 11:45:47
INC0039,2026-08-29 10:45:47,GRA016,OP075,Overheating,Medium,Overheating event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-08-29 10:45:47
INC0040,2026-08-28 15:45:47,GRA028,OP063,Fatigue,High,Fatigue event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-28 15:45:47
INC0041,2026-09-19 15:45:47,DOZ009,OP064,Mechanical Anomaly,Medium,Mechanical Anomaly event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-09-19 15:45:47
INC0042,2026-08-10 02:45:47,COM048,OP027,Overheating,Critical,Overheating event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,False,,2026-08-10 02:45:47
INC0043,2026-08-15 13:45:47,EXC037,OP009,Fatigue,Low,Fatigue event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-08-15 13:45:47
INC0044,2026-08-27 21:45:47,GRA046,OP068,Proximity Hazard,High,Proximity Hazard event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-27 21:45:47
INC0045,2026-08-22 00:45:47,DUM041,OP088,Mechanical Anomaly,Medium,Mechanical Anomaly event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-22 00:45:47
INC0046,2026-09-01 01:45:47,DOZ003,OP022,Mechanical Anomaly,Low,Mechanical Anomaly event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-09-01 01:45:47
INC0047,2026-08-19 04:45:47,COM042,OP085,Mechanical Anomaly,Medium,Mechanical Anomaly event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,True,Operator briefed and cleared for shift resumption.,2026-08-19 04:45:47
INC0048,2026-08-25 01:45:47,WHE002,OP087,Other,Critical,Other event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,True,Operator briefed and cleared for shift resumption.,2026-08-25 01:45:47
INC0049,2026-09-18 06:45:47,DOZ021,OP071,Other,Medium,Other event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-18 06:45:47
INC0050,2026-09-09 16:45:47,COM012,OP054,Excessive Idling,High,Excessive Idling event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,False,,2026-09-09 16:45:47
INC0051,2026-09-04 23:45:47,WHE026,OP062,Overheating,High,Overheating event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-04 23:45:47
INC0052,2026-08-24 01:45:47,DUM029,OP072,Seatbelt Violation,Low,Seatbelt Violation event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-08-24 01:45:47
INC0053,2026-08-15 19:45:47,EXC043,OP073,Seatbelt Violation,Low,Seatbelt Violation event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-08-15 19:45:47
INC0054,2026-08-31 09:45:47,COM030,OP062,Seatbelt Violation,High,Seatbelt Violation event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,False,,2026-08-31 09:45:47
INC0055,2026-09-04 08:45:47,EXC037,OP087,Proximity Hazard,High,Proximity Hazard event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-09-04 08:45:47
INC0056,2026-09-02 05:45:47,WHE020,OP078,Other,Medium,Other event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-09-02 05:45:47
INC0057,2026-08-14 18:45:47,EXC007,OP055,Mechanical Anomaly,High,Mechanical Anomaly event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-14 18:45:47
INC0058,2026-08-20 15:45:47,GRA034,OP098,Proximity Hazard,Medium,Proximity Hazard event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-20 15:45:47
INC0059,2026-09-05 21:45:47,EXC043,OP074,Overheating,Critical,Overheating event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,False,,2026-09-05 21:45:47
INC0060,2026-09-02 17:45:47,GRA028,OP045,Excessive Idling,Critical,Excessive Idling event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,False,,2026-09-02 17:45:47
INC0061,2026-09-03 02:45:47,EXC031,OP003,Seatbelt Violation,High,Seatbelt Violation event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-09-03 02:45:47
INC0062,2026-08-14 02:45:47,GRA040,OP034,Mechanical Anomaly,Medium,Mechanical Anomaly event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-14 02:45:47
INC0063,2026-08-11 20:45:47,WHE050,OP056,Proximity Hazard,Critical,Proximity Hazard event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,False,,2026-08-11 20:45:47
INC0064,2026-09-14 11:45:47,GRA022,OP053,Seatbelt Violation,Medium,Seatbelt Violation event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-09-14 11:45:47
INC0065,2026-08-22 23:45:47,WHE038,OP035,Other,Low,Other event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-22 23:45:47
INC0066,2026-09-01 05:45:47,GRA016,OP039,Mechanical Anomaly,Low,Mechanical Anomaly event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,False,,2026-09-01 05:45:47
INC0067,2026-09-16 10:45:47,WHE038,OP060,Overheating,Critical,Overheating event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,False,,2026-09-16 10:45:47
INC0068,2026-09-01 15:45:47,GRA004,OP015,Mechanical Anomaly,Low,Mechanical Anomaly event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,False,,2026-09-01 15:45:47
INC0069,2026-09-04 16:45:47,COM030,OP059,Overheating,Medium,Overheating event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-09-04 16:45:47
INC0070,2026-08-12 03:45:47,GRA016,OP085,Overheating,Low,Overheating event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-08-12 03:45:47
INC0071,2026-09-12 00:45:47,DUM035,OP062,Mechanical Anomaly,Medium,Mechanical Anomaly event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-09-12 00:45:47
INC0072,2026-08-29 03:45:47,COM030,OP065,Overheating,High,Overheating event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-08-29 03:45:47
INC0073,2026-08-12 15:45:47,DOZ015,OP044,Seatbelt Violation,High,Seatbelt Violation event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,False,,2026-08-12 15:45:47
INC0074,2026-08-20 01:45:47,WHE020,OP013,Excessive Idling,Critical,Excessive Idling event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-20 01:45:47
INC0075,2026-08-14 14:45:47,COM024,OP060,Mechanical Anomaly,Medium,Mechanical Anomaly event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-08-14 14:45:47
INC0076,2026-08-20 00:45:47,GRA010,OP031,Overheating,Medium,Overheating event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-08-20 00:45:47
INC0077,2026-08-10 17:45:47,DUM023,OP071,Overheating,Low,Overheating event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,False,,2026-08-10 17:45:47
INC0078,2026-08-23 00:45:47,DUM023,OP063,Other,High,Other event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-23 00:45:47
INC0079,2026-08-29 10:45:47,EXC007,OP084,Fatigue,Critical,Fatigue event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,False,,2026-08-29 10:45:47
INC0080,2026-08-13 15:45:47,GRA034,OP099,Proximity Hazard,High,Proximity Hazard event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-13 15:45:47
INC0081,2026-09-13 04:45:47,WHE050,OP025,Seatbelt Violation,Critical,Seatbelt Violation event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,True,Operator briefed and cleared for shift resumption.,2026-09-13 04:45:47
INC0082,2026-08-26 11:45:47,COM048,OP095,Proximity Hazard,High,Proximity Hazard event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-08-26 11:45:47
INC0083,2026-09-06 23:45:47,WHE002,OP060,Overheating,Low,Overheating event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,True,Operator briefed and cleared for shift resumption.,2026-09-06 23:45:47
INC0084,2026-09-06 20:45:47,WHE038,OP057,Other,Low,Other event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-06 20:45:47
INC0085,2026-09-05 08:45:47,WHE038,OP063,Mechanical Anomaly,Medium,Mechanical Anomaly event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-05 08:45:47
INC0086,2026-08-18 01:45:47,DUM023,OP092,Fatigue,High,Fatigue event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-18 01:45:47
INC0087,2026-08-23 02:45:47,GRA034,OP092,Seatbelt Violation,Medium,Seatbelt Violation event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,False,,2026-08-23 02:45:47
INC0088,2026-09-21 08:45:47,GRA046,OP099,Overheating,Critical,Overheating event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-21 08:45:47
INC0089,2026-09-17 11:45:47,WHE002,OP025,Excessive Idling,Critical,Excessive Idling event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,True,Operator briefed and cleared for shift resumption.,2026-09-17 11:45:47
INC0090,2026-08-12 10:45:47,COM030,OP045,Seatbelt Violation,Low,Seatbelt Violation event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-08-12 10:45:47
INC0091,2026-08-29 21:45:47,EXC007,OP057,Other,Low,Other event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,False,,2026-08-29 21:45:47
INC0092,2026-08-22 18:45:47,COM042,OP035,Fatigue,Low,Fatigue event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,True,Operator briefed and cleared for shift resumption.,2026-08-22 18:45:47
INC0093,2026-08-21 01:45:47,DOZ045,OP077,Excessive Idling,Medium,Excessive Idling event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-21 01:45:47
INC0094,2026-08-09 07:45:47,WHE044,OP013,Overheating,Critical,Overheating event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-09 07:45:47
INC0095,2026-08-11 18:45:47,COM048,OP047,Seatbelt Violation,Medium,Seatbelt Violation event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-08-11 18:45:47
INC0096,2026-08-28 14:45:47,WHE038,OP055,Other,Critical,Other event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-28 14:45:47
INC0097,2026-08-23 04:45:47,DUM023,OP026,Proximity Hazard,Critical,Proximity Hazard event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-23 04:45:47
INC0098,2026-09-20 20:45:47,WHE044,OP046,Overheating,Critical,Overheating event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-09-20 20:45:47
INC0099,2026-08-19 18:45:47,COM030,OP017,Seatbelt Violation,Medium,Seatbelt Violation event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-08-19 18:45:47
INC0100,2026-09-10 04:45:47,COM018,OP100,Proximity Hazard,Low,Proximity Hazard event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-10 04:45:47
INC0101,2026-08-15 11:45:47,DUM023,OP014,Other,Medium,Other event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-15 11:45:47
INC0102,2026-08-15 21:45:47,COM018,OP025,Seatbelt Violation,Low,Seatbelt Violation event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-08-15 21:45:47
INC0103,2026-08-14 02:45:47,WHE020,OP022,Other,Critical,Other event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-14 02:45:47
INC0104,2026-08-11 04:45:47,DOZ015,OP056,Fatigue,Critical,Fatigue event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-08-11 04:45:47
INC0105,2026-08-26 09:45:47,EXC031,OP092,Overheating,Critical,Overheating event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,False,,2026-08-26 09:45:47
INC0106,2026-09-10 13:45:47,COM018,OP067,Mechanical Anomaly,Low,Mechanical Anomaly event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-10 13:45:47
INC0107,2026-08-24 14:45:47,EXC043,OP002,Other,Low,Other event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,True,Operator briefed and cleared for shift resumption.,2026-08-24 14:45:47
INC0108,2026-08-30 18:45:47,DOZ015,OP047,Mechanical Anomaly,Critical,Mechanical Anomaly event logged during excavation operations at Site Delta - Highway Interchange.,Site Delta - Highway Interchange,True,Operator briefed and cleared for shift resumption.,2026-08-30 18:45:47
INC0109,2026-08-22 06:45:47,GRA010,OP050,Other,Low,Other event logged during excavation operations at Site Beta - East Trenching Zone.,Site Beta - East Trenching Zone,False,,2026-08-22 06:45:47
INC0110,2026-09-07 20:45:47,GRA022,OP024,Other,Critical,Other event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-09-07 20:45:47
INC0111,2026-09-13 19:45:47,WHE038,OP034,Other,Low,Other event logged during excavation operations at Site Gamma - River Basin Basin Prep.,Site Gamma - River Basin Basin Prep,True,Operator briefed and cleared for shift resumption.,2026-09-13 19:45:47
INC0112,2026-08-26 17:45:47,EXC049,OP067,Other,Critical,Other event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-26 17:45:47
INC0113,2026-09-11 06:45:47,COM006,OP017,Seatbelt Violation,Medium,Seatbelt Violation event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-09-11 06:45:47
INC0114,2026-09-03 06:45:47,DUM017,OP081,Seatbelt Violation,Medium,Seatbelt Violation event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,True,Operator briefed and cleared for shift resumption.,2026-09-03 06:45:47
INC0115,2026-08-16 20:45:47,EXC025,OP011,Other,Low,Other event logged during excavation operations at Site Beta - North Overpass.,Site Beta - North Overpass,True,Operator briefed and cleared for shift resumption.,2026-08-16 20:45:47
INC0116,2026-09-01 16:45:47,COM042,OP070,Other,Medium,Other event logged during excavation operations at Site Alpha - Sector 1 Quarry.,Site Alpha - Sector 1 Quarry,True,Operator briefed and cleared for shift resumption.,2026-09-01 16:45:47
INC0117,2026-08-26 03:45:47,WHE020,OP051,Other,High,Other event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-26 03:45:47
INC0118,2026-08-30 13:45:47,DUM041,OP035,Mechanical Anomaly,Critical,Mechanical Anomaly event logged during excavation operations at Site Alpha - Sector 4 Foundation.,Site Alpha - Sector 4 Foundation,True,Operator briefed and cleared for shift resumption.,2026-08-30 13:45:47
