machine_id,machine_type,machine_model,machine_age_years,engine_hours,maintenance_age_days,fuel_capacity,current_fuel_level,hydraulic_pressure,engine_temperature,engine_rpm,vibration_level,coolant_temperature,oil_pressure,battery_voltage,load_weight,operating_hours,location,status
WHE026,Wheel Loader,CAT 950M High Lift,1.5,1620.5,112,320.0,80.7,272.6,84.2,1820.0,1.4,80.7,45.5,24.6,20.2,8.0,Site Gamma - River Basin Basin Prep,Operating
DOZ027,Dozer,CAT D6 XE Electric,4.3,3977.9,112,320.0,82.8,278.2,87.0,1820.0,2.09,83.5,42.7,24.6,19.8,8.0,Site Gamma - River Basin Basin Prep,Operating
GRA028,Grader,CAT 140 Motor Grader,4.8,4562.3,68,320.0,46.8,292.0,87.0,1820.0,2.15,83.5,44.1,24.6,11.2,8.0,Site Gamma - River Basin Basin Prep,Operating
DUM029,Dump Truck,CAT 730 Articulated,1.0,960.6,6,450.0,34.9,279.8,86.2,1820.0,1.52,82.7,44.1,24.6,14.7,8.0,Site Beta - North Overpass,Operating
COM030,Compactor,CAT CB68B Asphalt,3.2,2613.3,49,320.0,37.0,283.5,86.9,1820.0,1.92,83.4,42.3,24.6,8.3,8.0,Site Beta - East Trenching Zone,Operating
EXC031,Excavator,CAT 320 Next Gen,2.5,1960.3,37,450.0,36.0,263.7,85.8,1820.0,1.77,82.3,43.8,24.6,8.5,8.0,Site Delta - Highway Interchange,Operating
WHE032,Wheel Loader,CAT 980M Quarry,0.7,601.1,70,320.0,94.7,277.8,85.3,1820.0,1.72,81.8,44.7,24.6,20.5,8.0,Site Beta - East Trenching Zone,Operating
DOZ033,Dozer,CAT D6 XE Electric,3.2,3029.3,99,320.0,84.5,285.5,86.8,1820.0,2.16,83.3,43.6,24.6,19.4,8.0,Site Beta - East Trenching Zone,Operating
GRA034,Grader,CAT 160M AWD,0.8,846.3,8,320.0,41.2,279.8,85.3,1820.0,1.8,81.8,43.8,24.6,18.1,8.0,Site Alpha - Sector 4 Foundation,Operating
DUM035,Dump Truck,CAT 745 Extreme Haul,3.2,3072.4,29,450.0,74.8,275.4,86.9,1820.0,1.84,83.4,43.7,24.6,15.8,8.0,Site Beta - North Overpass,Operating
COM036,Compactor,CAT CB68B Asphalt,4.3,3402.9,100,320.0,45.0,273.9,91.7,1820.0,1.94,88.2,42.2,24.6,10.9,8.0,Site Alpha - Sector 1 Quarry,Operating
EXC037,Excavator,CAT 320 Next Gen,6.0,4618.1,89,450.0,55.2,272.8,89.5,1820.0,2.36,86.0,39.2,24.6,8.6,8.0,Site Beta - North Overpass,Operating
WHE038,Wheel Loader,CAT 980M Quarry,6.6,6147.7,40,320.0,83.9,293.1,88.1,1820.0,2.28,84.6,42.9,24.6,21.9,8.0,Site Gamma - River Basin Basin Prep,Operating
DOZ039,Dozer,CAT D6 XE Electric,1.5,1265.5,7,320.0,78.7,283.2,87.1,1820.0,1.9,83.6,43.3,24.6,10.5,8.0,Site Alpha - Sector 1 Quarry,Operating
GRA040,Grader,CAT 140 Motor Grader,1.3,1415.1,41,320.0,60.3,277.0,86.7,1820.0,1.65,83.2,44.9,24.6,13.0,8.0,Site Gamma - River Basin Basin Prep,Operating
DUM041,Dump Truck,CAT 745 Extreme Haul,3.2,2449.3,93,450.0,95.9,282.8,88.0,1820.0,1.69,84.5,42.5,24.6,11.3,8.0,Site Alpha - Sector 4 Foundation,Operating
COM042,Compactor,CAT CB68B Asphalt,0.7,537.5,78,320.0,70.0,270.8,83.6,1820.0,1.88,80.1,44.4,24.6,11.5,8.0,Site Alpha - Sector 1 Quarry,Operating
EXC043,Excavator,CAT 320 Next Gen,1.8,1533.1,111,450.0,84.8,279.3,87.1,1820.0,1.84,83.6,45.4,24.6,20.2,8.0,Site Beta - East Trenching Zone,Operating
WHE044,Wheel Loader,CAT 966M,1.2,893.7,118,320.0,76.8,272.8,85.8,1820.0,1.46,82.3,44.5,24.6,14.7,8.0,Site Alpha - Sector 4 Foundation,Operating
DOZ045,Dozer,CAT D8T Heavy,4.0,2827.8,93,320.0,63.2,256.8,87.3,1820.0,2.12,83.8,43.8,24.6,10.0,8.0,Site Gamma - River Basin Basin Prep,Operating
GRA046,Grader,CAT 160M AWD,0.6,493.9,84,320.0,79.7,276.6,84.6,1820.0,1.58,81.1,44.2,24.6,11.3,8.0,Site Gamma - River Basin Basin Prep,Operating
DUM047,Dump Truck,CAT 730 Articulated,10.4,8342.1,69,450.0,68.8,282.5,94.3,1820.0,2.74,90.8,39.9,24.6,17.7,8.0,Site Delta - Highway Interchange,Maintenance
COM048,Compactor,CAT CB68B Asphalt,3.9,3066.5,84,320.0,40.8,287.5,88.2,1820.0,2.04,84.7,40.4,24.6,12.5,8.0,Site Delta - Highway Interchange,Operating
EXC049,Excavator,CAT 320 Next Gen,6.5,7132.7,17,450.0,57.5,282.8,90.7,1820.0,2.33,87.2,41.8,24.6,17.3,8.0,Site Alpha - Sector 4 Foundation,Operating
WHE050,Wheel Loader,CAT 966M,5.4,5426.5,109,320.0,74.1,272.8,87.2,1820.0,2.27,83.7,40.0,24.6,16.8,8.0,Site Alpha - Sector 1 Quarry,Operating
