task_id,task_type,machine_id,operator_id,location,priority,scheduled_start,estimated_time_min,predicted_time_min,actual_time_min,load_cycles,distance,weather,operator_skill,machine_age,status
T0029,Material Loading,DUM047,OP041,Site Delta - Highway Interchange,Critical,2026-07-26 09:03:47,45.0,46.0,43.4,22,1.22,Sunny,Expert,10.4,Completed
T0030,Demolition,DOZ033,OP015,Site Beta - East Trenching Zone,Critical,2026-07-26 09:45:47,110.0,115.3,100.6,23,0.41,Cloudy,Intermediate,3.2,Completed
T0031,Demolition,EXC013,OP033,Site Beta - East Trenching Zone,Low,2026-07-26 10:27:47,110.0,112.8,120.5,26,1.02,Sunny,Intermediate,3.2,Completed
T0032,Compaction,GRA028,OP001,Site Gamma - River Basin Basin Prep,Medium,2026-07-26 11:09:47,50.0,48.7,49.5,13,1.45,Cloudy,Expert,4.8,Completed
T0033,Material Loading,GRA028,OP009,Site Gamma - River Basin Basin Prep,High,2026-07-26 11:51:47,45.0,56.6,54.5,19,3.61,Cloudy,Beginner,4.8,Completed
T0034,Demolition,DOZ021,OP085,Site Gamma - River Basin Basin Prep,Low,2026-07-26 12:33:47,110.0,103.3,108.9,28,1.82,Sunny,Intermediate,1.4,Completed
T0035,Compaction,WHE020,OP065,Site Alpha - Sector 4 Foundation,High,2026-07-26 13:15:47,50.0,75.7,78.9,11,3.98,Rainy,Beginner,3.4,Completed
T0036,Compaction,DOZ027,OP042,Site Gamma - River Basin Basin Prep,Critical,2026-07-26 13:57:47,50.0,64.1,54.4,12,2.0,Cloudy,Beginner,4.3,Completed
T0037,Compaction,EXC019,OP071,Site Gamma - River Basin Basin Prep,Medium,2026-07-26 14:39:47,50.0,65.5,66.5,20,1.96,Cloudy,Beginner,4.5,Completed
T0038,Trenching,DOZ027,OP086,Site Gamma - River Basin Basin Prep,Critical,2026-07-26 15:21:47,75.0,78.5,81.5,16,1.72,Sunny,Intermediate,4.3,Completed
T0039,Compaction,COM048,OP023,Site Delta - Highway Interchange,High,2026-07-26 16:03:47,50.0,64.2,59.7,29,1.69,Cloudy,Beginner,3.9,Completed
T0040,Grading,COM036,OP001,Site Alpha - Sector 1 Quarry,High,2026-07-26 16:45:47,90.0,105.1,89.0,21,1.12,Rainy,Expert,4.3,Completed
T0041,Material Loading,WHE014,OP056,Site Alpha - Sector 1 Quarry,High,2026-07-26 17:27:47,45.0,41.6,49.0,28,0.9,Sunny,Intermediate,3.6,Completed
T0042,Grading,DUM029,OP057,Site Beta - North Overpass,Medium,2026-07-26 18:09:47,90.0,89.4,87.8,20,2.65,Sunny,Intermediate,1.0,Completed
T0043,Demolition,EXC031,OP095,Site Delta - Highway Interchange,Medium,2026-07-26 18:51:47,110.0,129.0,136.5,21,3.99,Sunny,Beginner,2.5,Completed
T0044,Compaction,COM006,OP037,Site Beta - North Overpass,High,2026-07-26 19:33:47,50.0,62.5,58.2,18,2.94,Sunny,Beginner,4.5,Completed
T0045,Earth Excavation,EXC049,OP031,Site Alpha - Sector 4 Foundation,High,2026-07-26 20:15:47,60.0,62.2,64.8,26,1.19,Sunny,Intermediate,6.5,Completed
T0046,Trenching,EXC013,OP019,Site Beta - East Trenching Zone,Low,2026-07-26 20:57:47,75.0,98.6,96.4,22,4.43,Windy,Beginner,3.2,Completed
T0047,Earth Excavation,GRA016,OP061,Site Delta - Highway Interchange,Low,2026-07-26 21:39:47,60.0,61.6,59.9,21,0.81,Sunny,Intermediate,3.2,Completed
T0048,Grading,DOZ027,OP081,Site Gamma - River Basin Basin Prep,Medium,2026-07-26 22:21:47,90.0,95.7,93.4,14,1.34,Cloudy,Intermediate,4.3,Completed
T0049,Compaction,DOZ045,OP050,Site Gamma - River Basin Basin Prep,Critical,2026-07-26 23:03:47,50.0,51.5,48.6,11,2.56,Sunny,Intermediate,4.0,Completed
T0050,Grading,GRA016,OP019,Site Delta - Highway Interchange,Low,2026-07-26 23:45:47,90.0,136.5,147.8,10,1.91,Rainy,Beginner,3.2,Completed
T0051,Hauling,WHE050,OP014,Site Alpha - Sector 1 Quarry,Critical,2026-07-27 00:27:47,40.0,46.4,45.4,29,4.35,Windy,Intermediate,5.4,Completed
T0052,Trenching,COM012,OP090,Site Alpha - Sector 4 Foundation,Critical,2026-07-27 01:09:47,75.0,66.2,63.2,13,1.47,Sunny,Expert,1.6,Completed
T0053,Earth Excavation,COM036,OP032,Site Alpha - Sector 1 Quarry,Low,2026-07-27 01:51:47,60.0,67.3,66.8,8,1.73,Cloudy,Intermediate,4.3,Completed
T0054,Grading,DOZ009,OP060,Site Beta - East Trenching Zone,High,2026-07-27 02:33:47,90.0,91.2,85.8,12,4.33,Sunny,Intermediate,2.8,Completed
T0055,Hauling,DUM029,OP079,Site Beta - North Overpass,Critical,2026-07-27 03:15:47,40.0,34.9,35.8,28,3.86,Cloudy,Expert,1.0,Completed
T0056,Hauling,COM036,OP058,Site Alpha - Sector 1 Quarry,Medium,2026-07-27 03:57:47,40.0,42.4,44.4,27,1.4,Sunny,Intermediate,4.3,Completed
T0057,Compaction,EXC031,OP058,Site Delta - Highway Interchange,High,2026-07-27 04:39:47,50.0,51.3,53.4,13,2.01,Cloudy,Intermediate,2.5,Completed
T0058,Hauling,GRA016,OP082,Site Delta - Highway Interchange,High,2026-07-27 05:21:47,40.0,45.0,47.6,9,2.19,Rainy,Expert,3.2,Completed
T0059,Hauling,WHE050,OP067,Site Alpha - Sector 1 Quarry,Critical,2026-07-27 06:03:47,40.0,44.1,46.1,15,2.29,Sunny,Intermediate,5.4,Completed
T0060,Compaction,GRA016,OP036,Site Delta - Highway Interchange,Critical,2026-07-27 06:45:47,50.0,78.8,76.0,15,1.33,Rainy,Beginner,3.2,Completed
T0061,Earth Excavation,GRA046,OP037,Site Gamma - River Basin Basin Prep,Medium,2026-07-27 07:27:47,60.0,87.8,98.0,12,3.42,Rainy,Beginner,0.6,Completed
T0062,Material Loading,GRA022,OP041,Site Alpha - Sector 4 Foundation,Low,2026-07-27 08:09:47,45.0,38.7,38.3,18,3.1,Sunny,Expert,0.8,Completed
T0063,Trenching,GRA010,OP030,Site Beta - East Trenching Zone,Critical,2026-07-27 08:51:47,75.0,65.7,62.2,27,3.42,Sunny,Expert,3.4,Completed
T0064,Compaction,GRA010,OP091,Site Beta - East Trenching Zone,Medium,2026-07-27 09:33:47,50.0,53.1,49.4,22,4.26,Sunny,Intermediate,3.4,Completed
T0065,Earth Excavation,DOZ027,OP053,Site Gamma - River Basin Basin Prep,High,2026-07-27 10:15:47,60.0,75.8,70.4,12,3.11,Sunny,Beginner,4.3,Completed
T0066,Demolition,COM030,OP054,Site Beta - East Trenching Zone,Low,2026-07-27 10:57:47,110.0,129.6,140.5,23,4.37,Sunny,Beginner,3.2,Completed
T0067,Trenching,DOZ027,OP050,Site Gamma - River Basin Basin Prep,Low,2026-07-27 11:39:47,75.0,81.2,80.4,9,3.14,Cloudy,Intermediate,4.3,Completed
T0068,Hauling,EXC049,OP074,Site Alpha - Sector 4 Foundation,Critical,2026-07-27 12:21:47,40.0,63.4,65.3,25,1.72,Storm,Intermediate,6.5,Completed
T0069,Grading,EXC001,OP046,Site Alpha - Sector 4 Foundation,High,2026-07-27 13:03:47,90.0,81.1,83.2,20,2.79,Sunny,Expert,2.4,Completed
T0070,Hauling,EXC025,OP054,Site Beta - North Overpass,Medium,2026-07-27 13:45:47,40.0,54.4,56.7,18,0.58,Cloudy,Beginner,9.2,Completed
T0071,Grading,DOZ015,OP035,Site Delta - Highway Interchange,Critical,2026-07-27 14:27:47,90.0,103.9,120.7,15,2.17,Sunny,Beginner,2.7,Completed
T0072,Grading,WHE002,OP050,Site Alpha - Sector 1 Quarry,High,2026-07-27 15:09:47,90.0,111.7,113.6,27,0.9,Rainy,Intermediate,1.1,Completed
T0073,Compaction,WHE044,OP052,Site Alpha - Sector 4 Foundation,Medium,2026-07-27 15:51:47,50.0,50.6,53.5,10,3.15,Cloudy,Intermediate,1.2,Completed
T0074,Hauling,COM030,OP017,Site Beta - East Trenching Zone,Low,2026-07-27 16:33:47,40.0,50.5,47.5,22,1.43,Sunny,Beginner,3.2,Completed
T0075,Grading,WHE038,OP073,Site Gamma - River Basin Basin Prep,Low,2026-07-27 17:15:47,90.0,106.8,116.8,15,2.69,Rainy,Expert,6.6,Completed
T0076,Earth Excavation,COM042,OP055,Site Alpha - Sector 1 Quarry,Medium,2026-07-27 17:57:47,60.0,50.4,52.6,20,1.08,Sunny,Expert,0.7,Completed
T0077,Hauling,COM030,OP024,Site Beta - East Trenching Zone,Low,2026-07-27 18:39:47,40.0,40.6,40.9,22,2.47,Windy,Expert,3.2,Completed
T0078,Material Loading,EXC025,OP042,Site Beta - North Overpass,Medium,2026-07-27 19:21:47,45.0,59.5,65.0,8,2.48,Cloudy,Beginner,9.2,Completed
T0079,Grading,DOZ021,OP044,Site Gamma - River Basin Basin Prep,Critical,2026-07-27 20:03:47,90.0,83.9,80.5,14,2.77,Cloudy,Expert,1.4,Completed
T0080,Material Loading,EXC049,OP054,Site Alpha - Sector 4 Foundation,High,2026-07-27 20:45:47,45.0,58.2,59.5,23,3.73,Sunny,Beginner,6.5,Completed
T0081,Hauling,COM006,OP061,Site Beta - North Overpass,Low,2026-07-27 21:27:47,40.0,42.6,40.4,10,2.05,Sunny,Intermediate,4.5,Completed
T0082,Compaction,DUM035,OP007,Site Beta - North Overpass,High,2026-07-27 22:09:47,50.0,60.7,60.8,21,2.93,Cloudy,Beginner,3.2,Completed
T0083,Trenching,COM042,OP009,Site Alpha - Sector 1 Quarry,Low,2026-07-27 22:51:47,75.0,95.8,96.4,27,2.55,Windy,Beginner,0.7,Completed
T0084,Hauling,WHE002,OP032,Site Alpha - Sector 1 Quarry,Medium,2026-07-27 23:33:47,40.0,50.5,49.5,21,1.23,Rainy,Intermediate,1.1,Completed
T0085,Hauling,WHE002,OP080,Site Alpha - Sector 1 Quarry,Medium,2026-07-28 00:15:47,40.0,35.3,39.8,26,3.85,Sunny,Intermediate,1.1,Completed
T0086,Trenching,DOZ009,OP061,Site Beta - East Trenching Zone,Low,2026-07-28 00:57:47,75.0,76.8,78.7,22,2.24,Sunny,Intermediate,2.8,Completed
T0087,Demolition,WHE014,OP060,Site Alpha - Sector 1 Quarry,High,2026-07-28 01:39:47,110.0,113.7,115.0,12,3.12,Cloudy,Intermediate,3.6,Completed
T0088,Hauling,COM024,OP022,Site Delta - Highway Interchange,Low,2026-07-28 02:21:47,40.0,41.4,39.8,14,2.37,Sunny,Expert,10.9,Completed
T0089,Hauling,DUM011,OP040,Site Delta - Highway Interchange,Low,2026-07-28 03:03:47,40.0,41.6,44.4,27,2.7,Cloudy,Intermediate,0.6,Completed
T0090,Demolition,WHE002,OP040,Site Alpha - Sector 1 Quarry,Critical,2026-07-28 03:45:47,110.0,116.8,127.1,26,2.44,Windy,Intermediate,1.1,Completed
T0091,Grading,GRA046,OP026,Site Gamma - River Basin Basin Prep,Low,2026-07-28 04:27:47,90.0,96.0,89.9,11,2.52,Windy,Intermediate,0.6,Completed
T0092,Demolition,DOZ045,OP081,Site Gamma - River Basin Basin Prep,Medium,2026-07-28 05:09:47,110.0,109.4,117.3,8,0.76,Sunny,Intermediate,4.0,Completed
T0093,Earth Excavation,DOZ045,OP099,Site Gamma - River Basin Basin Prep,High,2026-07-28 05:51:47,60.0,79.7,76.8,18,3.41,Windy,Beginner,4.0,Completed
T0094,Hauling,WHE044,OP077,Site Alpha - Sector 4 Foundation,Low,2026-07-28 06:33:47,40.0,35.0,35.6,27,3.62,Cloudy,Expert,1.2,Completed
T0095,Hauling,EXC037,OP006,Site Beta - North Overpass,High,2026-07-28 07:15:47,40.0,48.2,49.1,18,3.43,Rainy,Expert,6.0,Completed
T0096,Demolition,GRA028,OP085,Site Gamma - River Basin Basin Prep,High,2026-07-28 07:57:47,110.0,118.4,112.1,18,0.5,Sunny,Intermediate,4.8,Completed
T0097,Earth Excavation,DOZ033,OP083,Site Beta - East Trenching Zone,High,2026-07-28 08:39:47,60.0,72.4,72.7,20,3.61,Cloudy,Beginner,3.2,Completed
T0098,Earth Excavation,DOZ027,OP063,Site Gamma - River Basin Basin Prep,Low,2026-07-28 09:21:47,60.0,70.3,71.5,27,3.69,Cloudy,Beginner,4.3,Completed
T0099,Grading,COM024,OP082,Site Delta - Highway Interchange,Critical,2026-07-28 10:03:47,90.0,89.8,91.1,11,0.6,Sunny,Expert,10.9,Completed
T0100,Compaction,GRA010,OP056,Site Beta - East Trenching Zone,Medium,2026-07-28 10:45:47,50.0,63.8,68.6,11,0.45,Rainy,Intermediate,3.4,Completed
T0101,Compaction,GRA034,OP084,Site Alpha - Sector 4 Foundation,High,2026-07-28 11:27:47,50.0,86.2,94.7,23,3.51,Storm,Beginner,0.8,Completed
T0102,Demolition,DUM035,OP100,Site Beta - North Overpass,Critical,2026-07-28 12:09:47,110.0,130.6,133.6,20,3.9,Sunny,Beginner,3.2,Completed
T0103,Grading,GRA028,OP094,Site Gamma - River Basin Basin Prep,High,2026-07-28 12:51:47,90.0,95.6,88.2,28,2.58,Cloudy,Intermediate,4.8,Completed
T0104,Material Loading,GRA016,OP012,Site Delta - Highway Interchange,High,2026-07-28 13:33:47,45.0,51.6,48.1,25,3.4,Rainy,Expert,3.2,Completed
T0105,Grading,GRA016,OP097,Site Delta - Highway Interchange,Critical,2026-07-28 14:15:47,90.0,115.0,105.9,28,0.61,Rainy,Intermediate,3.2,Completed
T0106,Demolition,GRA040,OP086,Site Gamma - River Basin Basin Prep,Critical,2026-07-28 14:57:47,110.0,121.7,111.7,28,1.45,Windy,Intermediate,1.3,Completed
T0107,Material Loading,WHE002,OP064,Site Alpha - Sector 1 Quarry,High,2026-07-28 15:39:47,45.0,56.9,52.3,26,1.67,Cloudy,Beginner,1.1,Completed
T0108,Trenching,WHE032,OP028,Site Beta - East Trenching Zone,High,2026-07-28 16:21:47,75.0,86.3,80.9,29,2.7,Sunny,Beginner,0.7,Completed
T0109,Hauling,DUM017,OP044,Site Alpha - Sector 1 Quarry,High,2026-07-28 17:03:47,40.0,46.8,45.4,18,0.68,Rainy,Expert,1.7,Completed
T0110,Demolition,DOZ045,OP036,Site Gamma - River Basin Basin Prep,Low,2026-07-28 17:45:47,110.0,133.7,125.7,13,3.87,Sunny,Beginner,4.0,Completed
T0111,Demolition,EXC013,OP011,Site Beta - East Trenching Zone,Medium,2026-07-28 18:27:47,110.0,142.7,137.1,9,0.8,Cloudy,Beginner,3.2,Completed
T0112,Compaction,DOZ027,OP063,Site Gamma - River Basin Basin Prep,Medium,2026-07-28 19:09:47,50.0,68.0,73.6,19,0.66,Windy,Beginner,4.3,Completed
T0113,Compaction,EXC031,OP083,Site Delta - Highway Interchange,Critical,2026-07-28 19:51:47,50.0,60.5,59.5,26,3.62,Cloudy,Beginner,2.5,Completed
T0114,Grading,WHE002,OP012,Site Alpha - Sector 1 Quarry,High,2026-07-28 20:33:47,90.0,77.9,71.0,11,3.5,Sunny,Expert,1.1,Completed
T0115,Trenching,WHE026,OP089,Site Gamma - River Basin Basin Prep,Medium,2026-07-28 21:15:47,75.0,95.3,103.2,29,1.06,Rainy,Intermediate,1.5,Completed
T0116,Material Loading,EXC043,OP075,Site Beta - East Trenching Zone,High,2026-07-28 21:57:47,45.0,46.5,49.1,9,0.67,Cloudy,Intermediate,1.8,Completed
T0117,Grading,COM036,OP068,Site Alpha - Sector 1 Quarry,High,2026-07-28 22:39:47,90.0,108.0,109.8,27,3.67,Cloudy,Beginner,4.3,Completed
T0118,Grading,COM048,OP071,Site Delta - Highway Interchange,High,2026-07-28 23:21:47,90.0,110.6,97.8,18,3.58,Sunny,Beginner,3.9,Completed
T0119,Material Loading,DOZ045,OP059,Site Gamma - River Basin Basin Prep,High,2026-07-29 00:03:47,45.0,58.3,64.6,11,1.53,Windy,Beginner,4.0,Completed
T0120,Material Loading,DUM017,OP030,Site Alpha - Sector 1 Quarry,Low,2026-07-29 00:45:47,45.0,38.3,40.5,21,2.59,Sunny,Expert,1.7,Completed
T0121,Compaction,EXC013,OP041,Site Beta - East Trenching Zone,Low,2026-07-29 01:27:47,50.0,49.2,52.0,14,2.92,Windy,Expert,3.2,Completed
T0122,Compaction,DUM035,OP098,Site Beta - North Overpass,Medium,2026-07-29 02:09:47,50.0,44.2,43.5,13,0.98,Sunny,Expert,3.2,Completed
T0123,Trenching,WHE014,OP095,Site Alpha - Sector 1 Quarry,Critical,2026-07-29 02:51:47,75.0,112.0,130.1,23,1.02,Rainy,Beginner,3.6,Completed
T0124,Material Loading,DUM047,OP076,Site Delta - Highway Interchange,High,2026-07-29 03:33:47,45.0,52.2,53.8,16,3.69,Sunny,Intermediate,10.4,Completed
T0125,Earth Excavation,EXC013,OP038,Site Beta - East Trenching Zone,Medium,2026-07-29 04:15:47,60.0,62.1,57.4,28,3.14,Sunny,Intermediate,3.2,Completed
T0126,Material Loading,COM012,OP039,Site Alpha - Sector 4 Foundation,Low,2026-07-29 04:57:47,45.0,50.2,55.2,12,2.69,Rainy,Expert,1.6,Completed
T0127,Compaction,DUM035,OP017,Site Beta - North Overpass,High,2026-07-29 05:39:47,50.0,74.3,70.8,12,4.39,Rainy,Beginner,3.2,Completed
T0128,Earth Excavation,GRA004,OP071,Site Beta - North Overpass,High,2026-07-29 06:21:47,60.0,89.3,93.1,13,3.31,Rainy,Beginner,4.9,Completed
T0129,Compaction,DOZ009,OP082,Site Beta - East Trenching Zone,Critical,2026-07-29 07:03:47,50.0,55.7,59.2,19,1.69,Rainy,Expert,2.8,Completed
T0130,Earth Excavation,EXC001,OP074,Site Alpha - Sector 4 Foundation,High,2026-07-29 07:45:47,60.0,75.8,74.1,23,3.32,Rainy,Intermediate,2.4,Completed
T0131,Grading,EXC031,OP057,Site Delta - Highway Interchange,High,2026-07-29 08:27:47,90.0,96.2,84.5,22,1.18,Sunny,Intermediate,2.5,Completed
T0132,Trenching,GRA004,OP033,Site Beta - North Overpass,Critical,2026-07-29 09:09:47,75.0,82.3,84.3,24,3.85,Cloudy,Intermediate,4.9,Completed
T0133,Earth Excavation,DUM005,OP052,Site Beta - North Overpass,Critical,2026-07-29 09:51:47,60.0,71.5,71.6,27,3.43,Cloudy,Intermediate,10.8,Completed
T0134,Earth Excavation,EXC037,OP081,Site Beta - North Overpass,Low,2026-07-29 10:33:47,60.0,65.5,63.0,22,1.12,Sunny,Intermediate,6.0,Completed
T0135,Trenching,GRA010,OP073,Site Beta - East Trenching Zone,High,2026-07-29 11:15:47,75.0,86.3,76.0,10,3.25,Rainy,Expert,3.4,Completed
T0136,Earth Excavation,GRA016,OP016,Site Delta - Highway Interchange,Critical,2026-07-29 11:57:47,60.0,71.2,78.6,10,3.53,Sunny,Beginner,3.2,Completed
T0137,Demolition,DOZ039,OP080,Site Alpha - Sector 1 Quarry,Medium,2026-07-29 12:39:47,110.0,142.8,143.5,24,3.54,Rainy,Intermediate,1.5,Completed
T0138,Hauling,GRA034,OP049,Site Alpha - Sector 4 Foundation,Critical,2026-07-29 13:21:47,40.0,44.1,41.7,8,3.98,Sunny,Beginner,0.8,Completed
T0139,Grading,WHE020,OP076,Site Alpha - Sector 4 Foundation,Critical,2026-07-29 14:03:47,90.0,92.1,93.7,28,2.64,Sunny,Intermediate,3.4,Completed
T0140,Material Loading,EXC037,OP080,Site Beta - North Overpass,Low,2026-07-29 14:45:47,45.0,48.3,47.2,27,0.47,Sunny,Intermediate,6.0,Completed
T0141,Demolition,COM048,OP013,Site Delta - Highway Interchange,Medium,2026-07-29 15:27:47,110.0,150.1,156.0,29,3.92,Storm,Expert,3.9,Completed
T0142,Compaction,WHE014,OP034,Site Alpha - Sector 1 Quarry,Low,2026-07-29 16:09:47,50.0,57.1,56.9,16,3.84,Windy,Intermediate,3.6,Completed
T0143,Trenching,GRA016,OP023,Site Delta - Highway Interchange,Low,2026-07-29 16:51:47,75.0,92.3,96.1,26,3.98,Cloudy,Beginner,3.2,Completed
T0144,Trenching,EXC001,OP053,Site Alpha - Sector 4 Foundation,Critical,2026-07-29 17:33:47,75.0,91.1,93.2,15,1.48,Cloudy,Beginner,2.4,Completed
T0145,Compaction,DOZ039,OP061,Site Alpha - Sector 1 Quarry,High,2026-07-29 18:15:47,50.0,47.9,46.3,21,2.85,Sunny,Intermediate,1.5,Completed
T0146,Earth Excavation,DOZ015,OP037,Site Delta - Highway Interchange,High,2026-07-29 18:57:47,60.0,76.1,73.4,11,0.66,Windy,Beginner,2.7,Completed
T0147,Compaction,COM030,OP010,Site Beta - East Trenching Zone,Medium,2026-07-29 19:39:47,50.0,79.8,77.5,23,1.38,Storm,Intermediate,3.2,Completed
T0148,Material Loading,DUM041,OP076,Site Alpha - Sector 4 Foundation,Medium,2026-07-29 20:21:47,45.0,45.8,50.7,27,1.3,Sunny,Intermediate,3.2,Completed
T0149,Grading,WHE008,OP070,Site Alpha - Sector 1 Quarry,Medium,2026-07-29 21:03:47,90.0,129.5,124.5,16,3.14,Cloudy,Beginner,6.4,Completed
T0150,Compaction,GRA010,OP035,Site Beta - East Trenching Zone,Medium,2026-07-29 21:45:47,50.0,60.3,56.4,19,4.13,Sunny,Beginner,3.4,Completed
T0151,Earth Excavation,GRA004,OP022,Site Beta - North Overpass,High,2026-07-29 22:27:47,60.0,57.9,61.0,27,2.22,Sunny,Expert,4.9,Completed
T0152,Demolition,COM048,OP073,Site Delta - Highway Interchange,High,2026-07-29 23:09:47,110.0,104.4,98.3,26,1.37,Cloudy,Expert,3.9,Completed
T0153,Grading,WHE008,OP060,Site Alpha - Sector 1 Quarry,High,2026-07-29 23:51:47,90.0,94.7,92.2,20,4.38,Sunny,Intermediate,6.4,Completed
T0154,Compaction,WHE026,OP035,Site Gamma - River Basin Basin Prep,Critical,2026-07-30 00:33:47,50.0,61.1,58.5,16,2.48,Cloudy,Beginner,1.5,Completed
T0155,Grading,COM006,OP077,Site Beta - North Overpass,Low,2026-07-30 01:15:47,90.0,83.4,86.9,24,0.56,Sunny,Expert,4.5,Completed
T0156,Grading,COM048,OP042,Site Delta - Highway Interchange,High,2026-07-30 01:57:47,90.0,103.1,108.5,17,4.38,Sunny,Beginner,3.9,Completed
T0157,Earth Excavation,COM006,OP030,Site Beta - North Overpass,Low,2026-07-30 02:39:47,60.0,54.1,63.5,10,2.23,Sunny,Expert,4.5,Completed
T0158,Hauling,WHE044,OP035,Site Alpha - Sector 4 Foundation,Low,2026-07-30 03:21:47,40.0,47.2,47.4,24,0.43,Cloudy,Beginner,1.2,Completed
T0159,Hauling,EXC049,OP023,Site Alpha - Sector 4 Foundation,Critical,2026-07-30 04:03:47,40.0,56.3,54.8,24,1.3,Windy,Beginner,6.5,Completed
